artists,num_likes
Chameleon Circuit,8731
Coldplay,38573691
Ludovico Einaudi,748762
Charli XCX,2749643
Regina Spektor,1688144
Queen,29046019
CAKE,620670
Classical,3717047
Juanes,8586937
Billy Joel,3514506
Bruce Springsteen,5283856
CHVRCHES,679496
The Beatles,42306768
Lorde,6686074
AWOLNATION,1103681
Fun.,4679863
James Taylor,1907949
Avril Lavigne,52690493
Journey,5946487
Of Monsters and Men,2173413
Adele,64789230
Kat Zangari,352
Darude,91763
Jimmy Eat World,1511422
WALK THE MOON,428415
Cascada,2290977
Hans Zimmer,1779669
Imagine Dragons,13017885
Lady Gaga,61716921
Europe,1110389
Mumford and Sons,5487330
Alt-J,1522589
Enya,2003640
Survivor Music,156048
Neil Finn,63916
Blues Traveler,237722
Natasha Bedingfield,1264569
The Proclaimers,63070
Clint Mansell Composer,118960
They Might Be Giants,326557
Snow Patrol,3227293
Owl City,8871316
Kelly Clarkson,15121911
SmashMouth,111006
The Alef Beats,209
Disasterpeace,12740
Never Shout Never,3395417
Neon Trees,1274006
Philip Glass,313293
Van Morrison (Official),1272607
Van Halen,5839113
the Mountain Goats,127714
Youngblood Hawke,66392
Kesha,31096476
